smiles,is_valid,anion_MW,charge,atom_number
FC(F)C1(C(F)F)O[P-](C)(C)(C)(C)OC1(C(F)F)C(F)F,True,351.19,-1,37
FCC1(CF)O[P-](CF)(CF)(CF)(CF)OC1(CF)CF,True,351.19,-1,37
CC1(C)O[P-](C(F)F)(C(F)F)(C(F)F)(C(F)F)OC1(C)C,True,351.19,-1,37
CC1(C)O[P-]2(F)(C(F)(F)F)(OC1(C)C)OC(C)(C)C(C)(C)O2,True,351.3,-1,46
CC1(C)O[P-](F)(F)(O(C(F)(F)F))(O(C(F)(F)F))OC1(C)C,True,355.14,-1,33
FCC1(CF)O[P-](F)(F)(O(CF))(O(CF))OC1(CF)CF,True,355.14,-1,33
FC(F)C1(C(F)F)O[P-](F)(C)(C)(C)OC1(C(F)F)C(F)F,True,355.16,-1,34
N#CC1(C#N)O[P-](F)(O(CF))(O(CF))(O(CF))OC1(C#N)C#N,True,357.14,-1,29
FC(F)C1(C(F)F)O[P-](F)(F)(C)(C)OC1(C(F)F)C(F)F,True,359.12,-1,31
CC1(C)O[P-]2(O(CF))(O(CF))(OC1(C)C)OC(C)(C)C(C)(C)O2,True,361.34,-1,51
FC(F)C1(C(F)F)O[P-](F)(F)(F)(C)OC1(C(F)F)C(F)F,True,363.08,-1,28
N#CC1(C#N)O[P-](F)(F)(O(C(F)F))(O(C(F)F))OC1(C#N)C#N,True,363.09,-1,25
N#CC1(C#N)O[P-](F)(C(F)F)(C(F)F)(C(F)F)OC1(C#N)C#N,True,363.11,-1,26
CC1(C)O[P-]2(C(F)F)(C(F)F)(OC1(C)C)OC(C)(C)C(C)(C)O2,True,365.32,-1,49
FC(F)C1(C(F)F)O[P-](F)(F)(F)(F)OC1(C(F)F)C(F)F,True,367.05,-1,25
N#CC1(C#N)O[P-](F)(F)(C(F)(F)F)(C(F)(F)F)OC1(C#N)C#N,True,367.07,-1,23
N#CC1(C#N)O[P-]2(=O)(OC1(C#N)C#N)OC(C#N)(C#N)C(C#N)(C#N)O2,True,367.16,-1,26
CC1(C)O[P-](F)(O(C(F)F))(O(C(F)F))(O(C(F)F))OC1(C)C,True,367.17,-1,37
CC1(C)O[P-](F)(C(F)(F)F)(C(F)(F)F)(C(F)(F)F)OC1(C)C,True,373.15,-1,34
FC(F)C1(C(F)F)O[P-](F)(F)(F)(C#N)OC1(C(F)F)C(F)F,True,374.07,-1,26
N#CC1(C#N)O[P-](N(=O)=O)(N(=O)=O)(N(=O)=O)(N(=O)=O)OC1(C#N)C#N,True,375.09,-1,25
FCC1(CF)O[P-](F)(N(=O)=O)(N(=O)=O)(N(=O)=O)OC1(CF)CF,True,376.11,-1,31
FC(F)C1(C(F)F)O[P-](F)(F)(F)(O(C))OC1(C(F)F)C(F)F,True,379.08,-1,29
FC(F)C1(C(F)F)O[P-](F)(F)(C#N)(C#N)OC1(C(F)F)C(F)F,True,381.09,-1,27
FCC1(CF)O[P-](F)(O(CF))(O(CF))(O(CF))OC1(CF)CF,True,385.16,-1,37
O=[P-](O(C(F)(F)F))(O(C(F)(F)F))(O(C(F)(F)F))O(C(F)(F)F),True,386.99,-1,22
N#CC1(C#N)O[P-](O(CF))(O(CF))(O(CF))(O(CF))OC1(C#N)C#N,True,387.16,-1,33
FC(F)C1(C(F)F)O[P-](F)(C#N)(C#N)(C#N)OC1(C(F)F)C(F)F,True,388.11,-1,28
N#CC1(C#N)O[P-]2(F)(F)(OC1(C#N)C#N)OC(C#N)(C#N)C(C#N)(C#N)O2,True,389.15,-1,27
FC(F)C1(C(F)F)O[P-](F)(F)(O(C))(O(C))OC1(C(F)F)C(F)F,True,391.12,-1,33
FC(F)C1(C(F)F)O[P-](F)(F)(F)(N(=O)=O)OC1(C(F)F)C(F)F,True,394.05,-1,27
FC(F)(F)C1(C(F)(F)F)O[P-](=O)(=O)OC1(C(F)(F)F)C(F)(F)F,True,395.01,-1,23
FC(F)C1(C(F)F)O[P-](C#N)(C#N)(C#N)(C#N)OC1(C(F)F)C(F)F,True,395.13,-1,29
N#CC1(C#N)O[P-](C(F)F)(C(F)F)(C(F)F)(C(F)F)OC1(C#N)C#N,True,395.13,-1,29
N#CC1(C#N)O[P-]2(F)(C#N)(OC1(C#N)C#N)OC(C#N)(C#N)C(C#N)(C#N)O2,True,396.17,-1,28
O=P([O-])(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F,True,397.03,-1,25
CC1(C)O[P-]2(O(C(F)F))(O(C(F)F))(OC1(C)C)OC(C)(C)C(C)(C)O2,True,397.32,-1,51
FC(F)C1(C(F)F)O[P-](F)(F)(F)(C(F)F)OC1(C(F)F)C(F)F,True,399.06,-1,28
N#CC1(C#N)O[P-](F)(F)(O(C(F)(F)F))(O(C(F)(F)F))OC1(C#N)C#N,True,399.07,-1,25
CC1(C)O[P-]2(C(F)(F)F)(C(F)(F)F)(OC1(C)C)OC(C)(C)C(C)(C)O2,True,401.3,-1,49
FCC1(CF)O[P-](N(=O)=O)(N(=O)=O)(N(=O)=O)(N(=O)=O)OC1(CF)CF,True,403.11,-1,33
N#CC1(C#N)O[P-]2(F)(CF)(OC1(C#N)C#N)OC(C#N)(C#N)C(C#N)(C#N)O2,True,403.18,-1,30
N#CC1(C#N)O[P-]2(C#N)(C#N)(OC1(C#N)C#N)OC(C#N)(C#N)C(C#N)(C#N)O2,True,403.19,-1,29
N#CC1(C#N)O[P-](F)(O(C(F)F))(O(C(F)F))(O(C(F)F))OC1(C#N)C#N,True,411.11,-1,29
FC(F)C1(C(F)F)O[P-](F)(F)(F)(O(C(F)F))OC1(C(F)F)C(F)F,True,415.06,-1,29
FC(F)C1(C(F)F)O[P-](O(C))(O(C))(O(C))(O(C))OC1(C(F)F)C(F)F,True,415.19,-1,41
CC1(C)O[P-](O(C(F)F))(O(C(F)F))(O(C(F)F))(O(C(F)F))OC1(C)C,True,415.19,-1,41
FCC1(CF)O[P-](O(CF))(O(CF))(O(CF))(O(CF))OC1(CF)CF,True,415.19,-1,41
N#CC1(C#N)O[P-]2(F)(N(=O)=O)(OC1(C#N)C#N)OC(C#N)(C#N)C(C#N)(C#N)O2,True,416.16,-1,29
FC(F)(F)C1(C(F)(F)F)O[P-](F)(F)(=O)OC1(C(F)(F)F)C(F)(F)F,True,417.01,-1,24
N#CC1(C#N)O[P-](F)(C(F)(F)F)(C(F)(F)F)(C(F)(F)F)OC1(C#N)C#N,True,417.08,-1,26
N#CC1(C#N)O[P-]2(CF)(CF)(OC1(C#N)C#N)OC(C#N)(C#N)C(C#N)(C#N)O2,True,417.21,-1,33
N#CC1(C#N)O[P-]2(F)(O(CF))(OC1(C#N)C#N)OC(C#N)(C#N)C(C#N)(C#N)O2,True,419.18,-1,31
FC(F)C1(C(F)F)O[P-](F)(F)(N(=O)=O)(N(=O)=O)OC1(C(F)F)C(F)F,True,421.06,-1,29
CC1(C)O[P-](F)(O(C(F)(F)F))(O(C(F)(F)F))(O(C(F)(F)F))OC1(C)C,True,421.14,-1,37
N#CC1(C#N)O[P-]2(F)(C(F)F)(OC1(C#N)C#N)OC(C#N)(C#N)C(C#N)(C#N)O2,True,421.17,-1,30
CC1(C)O[P-](C(F)(F)F)(C(F)(F)F)(C(F)(F)F)(C(F)(F)F)OC1(C)C,True,423.15,-1,37
FC(F)(F)C1(C(F)(F)F)O[P-](F)(C)(C)(C)OC1(C(F)(F)F)C(F)(F)F,True,427.12,-1,34
FC(F)C1(C(F)F)O[P-](F)(F)(C(F)F)(C(F)F)OC1(C(F)F)C(F)F,True,431.08,-1,31
FC(F)(F)C1(C(F)(F)F)O[P-](F)(F)(C)(C)OC1(C(F)(F)F)C(F)(F)F,True,431.08,-1,31
CC1(C)O[P-]2(O(C(F)(F)F))(O(C(F)(F)F))(OC1(C)C)OC(C)(C)C(C)(C)O2,True,433.3,-1,51
FC(F)(F)C1(C(F)(F)F)O[P-](F)(F)(F)(C)OC1(C(F)(F)F)C(F)(F)F,True,435.04,-1,28
N#CC1(C#N)O[P-]2(F)(O(C(F)F))(OC1(C#N)C#N)OC(C#N)(C#N)C(C#N)(C#N)O2,True,437.17,-1,31
FC(F)(F)C1(C(F)(F)F)O[P-](F)(F)(F)(F)OC1(C(F)(F)F)C(F)(F)F,True,439.01,-1,25
N#CC1(C#N)O[P-]2(F)(C(F)(F)F)(OC1(C#N)C#N)OC(C#N)(C#N)C(C#N)(C#N)O2,True,439.16,-1,30
FC(F)(F)C(F)(C(F)(F)F)[P-](F)(F)(F)(F)C(F)(C(F)(F)F)C(F)(F)F,True,445.0,-1,25
FC(F)(F)[P-](C(F)(F)F)(C(F)(F)F)(C(F)(F)F)(C(F)(F)F)C(F)(F)F,True,445.0,-1,25
FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,True,445.0,-1,25
FCC1(CF)O[P-]2(F)(F)(OC1(CF)CF)OC(CF)(CF)C(CF)(CF)O2,True,445.21,-1,43
FC(F)(F)C1(C(F)(F)F)O[P-](F)(F)(F)(C#N)OC1(C(F)(F)F)C(F)(F)F,True,446.03,-1,26
FC(F)C1(C(F)F)O[P-](F)(N(=O)=O)(N(=O)=O)(N(=O)=O)OC1(C(F)F)C(F)F,True,448.07,-1,31
N#CC1(C#N)O[P-]2(O(CF))(O(CF))(OC1(C#N)C#N)OC(C#N)(C#N)C(C#N)(C#N)O2,True,449.21,-1,35
FC(F)(F)C1(C(F)(F)F)O[P-](F)(F)(F)(O(C))OC1(C(F)(F)F)C(F)(F)F,True,451.04,-1,29
FCC1(CF)O[P-]2(F)(C#N)(OC1(CF)CF)OC(CF)(CF)C(CF)(CF)O2,True,452.23,-1,44
FC(F)(F)C1(C(F)(F)F)O[P-](F)(F)(C#N)(C#N)OC1(C(F)(F)F)C(F)(F)F,True,453.05,-1,27
N#CC1(C#N)O[P-]2(C(F)F)(C(F)F)(OC1(C#N)C#N)OC(C#N)(C#N)C(C#N)(C#N)O2,True,453.19,-1,33
N#CC1(C#N)O[P-]2(F)(O(C(F)(F)F))(OC1(C#N)C#N)OC(C#N)(C#N)C(C#N)(C#N)O2,True,455.16,-1,31
N#CC1(C#N)O[P-](O(C(F)F))(O(C(F)F))(O(C(F)F))(O(C(F)F))OC1(C#N)C#N,True,459.12,-1,33
FCC1(CF)O[P-]2(F)(CF)(OC1(CF)CF)OC(CF)(CF)C(CF)(CF)O2,True,459.24,-1,46
FCC1(CF)O[P-]2(C#N)(C#N)(OC1(CF)CF)OC(CF)(CF)C(CF)(CF)O2,True,459.25,-1,45
FC(F)(F)C1(C(F)(F)F)O[P-](F)(C#N)(C#N)(C#N)OC1(C(F)(F)F)C(F)(F)F,True,460.07,-1,28
FC(F)(F)C1(C(F)(F)F)O[P-](F)(F)(O(C))(O(C))OC1(C(F)(F)F)C(F)(F)F,True,463.08,-1,33
FC(F)C1(C(F)F)O[P-](F)(F)(O(C(F)F))(O(C(F)F))OC1(C(F)F)C(F)F,True,463.08,-1,33
FC(F)C1(C(F)F)O[P-](F)(C(F)F)(C(F)F)(C(F)F)OC1(C(F)F)C(F)F,True,463.1,-1,34
N#CC1(C#N)O[P-](F)(O(C(F)(F)F))(O(C(F)(F)F))(O(C(F)(F)F))OC1(C#N)C#N,True,465.08,-1,29
FC(F)(F)C1(C(F)(F)F)O[P-](F)(F)(F)(N(=O)=O)OC1(C(F)(F)F)C(F)(F)F,True,466.01,-1,27
N#CC1(C#N)O[P-](C(F)(F)F)(C(F)(F)F)(C(F)(F)F)(C(F)(F)F)OC1(C#N)C#N,True,467.09,-1,29
FC(F)(F)C1(C(F)(F)F)O[P-](C#N)(C#N)(C#N)(C#N)OC1(C(F)(F)F)C(F)(F)F,True,467.09,-1,29
FCC1(CF)O[P-]2(F)(N(=O)=O)(OC1(CF)CF)OC(CF)(CF)C(CF)(CF)O2,True,472.22,-1,45
FCC1(CF)O[P-]2(CF)(CF)(OC1(CF)CF)OC(CF)(CF)C(CF)(CF)O2,True,473.26,-1,49
FC(F)C1(C(F)F)O[P-](N(=O)=O)(N(=O)=O)(N(=O)=O)(N(=O)=O)OC1(C(F)F)C(F)F,True,475.07,-1,33
FC(F)(F)C1(C(F)(F)F)O[P-](F)(O(C))(O(C))(O(C))OC1(C(F)(F)F)C(F)(F)F,True,475.11,-1,37
FCC1(CF)O[P-]2(F)(O(CF))(OC1(CF)CF)OC(CF)(CF)C(CF)(CF)O2,True,475.24,-1,47
N#CC1(C#N)O[P-]2(O(C(F)F))(O(C(F)F))(OC1(C#N)C#N)OC(C#N)(C#N)C(C#N)(C#N)O2,True,485.19,-1,35
FC(F)(F)C1(C(F)(F)F)O[P-](O(C))(O(C))(O(C))(O(C))OC1(C(F)(F)F)C(F)(F)F,True,487.15,-1,41
CC1(C)O[P-](O(C(F)(F)F))(O(C(F)(F)F))(O(C(F)(F)F))(O(C(F)(F)F))OC1(C)C,True,487.15,-1,41
FC(F)(F)C1(C(F)(F)F)O[P-](F)(F)(F)(C(F)(F)F)OC1(C(F)(F)F)C(F)(F)F,True,489.01,-1,28
N#CC1(C#N)O[P-]2(C(F)(F)F)(C(F)(F)F)(OC1(C#N)C#N)OC(C#N)(C#N)C(C#N)(C#N)O2,True,489.17,-1,33
FC(F)C1(C(F)F)O[P-](C(F)F)(C(F)F)(C(F)F)(C(F)F)OC1(C(F)F)C(F)F,True,495.11,-1,37
FC(F)(F)C1(C(F)(F)F)O[P-](F)(F)(F)(O(C(F)(F)F))OC1(C(F)(F)F)C(F)(F)F,True,505.01,-1,29
FCC1(CF)O[P-]2(O(CF))(O(CF))(OC1(CF)CF)OC(CF)(CF)C(CF)(CF)O2,True,505.26,-1,51
FC(F)(F)C1(C(F)(F)F)O[P-](F)(N(=O)=O)(N(=O)=O)(N(=O)=O)OC1(C(F)(F)F)C(F)(F)F,True,520.03,-1,31
N#CC1(C#N)O[P-]2(O(C(F)(F)F))(O(C(F)(F)F))(OC1(C#N)C#N)OC(C#N)(C#N)C(C#N)(C#N)O2,True,521.17,-1,35
N#CC1(C#N)O[P-](O(C(F)(F)F))(O(C(F)(F)F))(O(C(F)(F)F))(O(C(F)(F)F))OC1(C#N)C#N,True,531.08,-1,33
FC(F)(F)C1(C(F)(F)F)O[P-](F)(F)(C(F)(F)F)(C(F)(F)F)OC1(C(F)(F)F)C(F)(F)F,True,539.02,-1,31
FC(F)(F)C1(C(F)(F)F)O[P-](N(=O)=O)(N(=O)=O)(N(=O)=O)(N(=O)=O)OC1(C(F)(F)F)C(F)(F)F,True,547.03,-1,33
FC(F)C1(C(F)F)O[P-](O(C(F)F))(O(C(F)F))(O(C(F)F))(O(C(F)F))OC1(C(F)F)C(F)F,True,559.11,-1,41
FC(F)C1(C(F)F)O[P-]2(=O)(OC1(C(F)F)C(F)F)OC(C(F)F)(C(F)F)C(C(F)F)(C(F)F)O2,True,567.13,-1,42
FC(F)(F)C1(C(F)(F)F)O[P-](F)(F)(O(C(F)(F)F))(O(C(F)(F)F))OC1(C(F)(F)F)C(F)(F)F,True,571.02,-1,33
FC(F)(F)C1(C(F)(F)F)O[P-](F)(C(F)(F)F)(C(F)(F)F)(C(F)(F)F)OC1(C(F)(F)F)C(F)(F)F,True,589.03,-1,34
FC(F)C1(C(F)F)O[P-]2(F)(F)(OC1(C(F)F)C(F)F)OC(C(F)F)(C(F)F)C(C(F)F)(C(F)F)O2,True,589.13,-1,43
FC(F)C1(C(F)F)O[P-]2(F)(C#N)(OC1(C(F)F)C(F)F)OC(C(F)F)(C(F)F)C(C(F)F)(C(F)F)O2,True,596.15,-1,44
FC(F)C1(C(F)F)O[P-]2(C#N)(C#N)(OC1(C(F)F)C(F)F)OC(C(F)F)(C(F)F)C(C(F)F)(C(F)F)O2,True,603.17,-1,45
FC(F)C1(C(F)F)O[P-]2(F)(N(=O)=O)(OC1(C(F)F)C(F)F)OC(C(F)F)(C(F)F)C(C(F)F)(C(F)F)O2,True,616.14,-1,45
FC(F)C1(C(F)F)O[P-]2(F)(C(F)F)(OC1(C(F)F)C(F)F)OC(C(F)F)(C(F)F)C(C(F)F)(C(F)F)O2,True,621.15,-1,46
FC(F)(F)C1(C(F)(F)F)O[P-](F)(O(C(F)(F)F))(O(C(F)(F)F))(O(C(F)(F)F))OC1(C(F)(F)F)C(F)(F)F,True,637.02,-1,37
FC(F)C1(C(F)F)O[P-]2(F)(O(C(F)F))(OC1(C(F)F)C(F)F)OC(C(F)F)(C(F)F)C(C(F)F)(C(F)F)O2,True,637.15,-1,47
FC(F)(F)C1(C(F)(F)F)O[P-](C(F)(F)F)(C(F)(F)F)(C(F)(F)F)(C(F)(F)F)OC1(C(F)(F)F)C(F)(F)F,True,639.03,-1,37
FC(F)C1(C(F)F)O[P-]2(C(F)F)(C(F)F)(OC1(C(F)F)C(F)F)OC(C(F)F)(C(F)F)C(C(F)F)(C(F)F)O2,True,653.16,-1,49
FC(F)C1(C(F)F)O[P-]2(O(C(F)F))(O(C(F)F))(OC1(C(F)F)C(F)F)OC(C(F)F)(C(F)F)C(C(F)F)(C(F)F)O2,True,685.16,-1,51
FC(F)(F)C1(C(F)(F)F)O[P-](O(C(F)(F)F))(O(C(F)(F)F))(O(C(F)(F)F))(O(C(F)(F)F))OC1(C(F)(F)F)C(F)(F)F,True,703.03,-1,41
FC(F)(F)C1(C(F)(F)F)O[P-]2(=O)(OC1(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)O2,True,711.05,-1,42
FC(F)(F)C1(C(F)(F)F)O[P-]2(F)(F)(OC1(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)O2,True,733.05,-1,43
FC(F)(F)C1(C(F)(F)F)O[P-]2(F)(C#N)(OC1(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)O2,True,740.07,-1,44
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,True,745.05,-1,43
FC(F)(F)C1(C(F)(F)F)O[P-]2(C#N)(C#N)(OC1(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)O2,True,747.09,-1,45
FC(F)(F)C1(C(F)(F)F)O[P-]2(F)(N(=O)=O)(OC1(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)O2,True,760.06,-1,45
FC(F)(F)C1(C(F)(F)F)O[P-]2(F)(C(F)(F)F)(OC1(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)O2,True,783.06,-1,46
FC(F)(F)C1(C(F)(F)F)O[P-]2(C(F)(F)F)(C(F)(F)F)(OC1(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)O2,True,833.06,-1,49
FC(F)(F)C1(C(F)(F)F)O[P-]2(O(C(F)(F)F))(O(C(F)(F)F))(OC1(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)O2,True,865.06,-1,51
